?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0000775>	"The region of a chromosome that includes the centromeric DNA and associated proteins. In monocentric chromosomes, this region corresponds to a single area of the chromosome, whereas in holocentric chromosomes, it is evenly distributed along the chromosome."	
<http://purl.obolibrary.org/obo/OBI_0100051>	"A material entity that is collected for potential use as an input upon which measurements or observations are performed."@en	
<http://purl.obolibrary.org/obo/CHEBI_23367>	"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."	
<http://edamontology.org/data_3241>	"Mathematical model of a network, that contains biochemical kinetics."	
<http://purl.obolibrary.org/obo/NCIT_C42753>	"The operational aspect of a work procedure: how tasks are structured, who performs them, what their relative order is, how they are synchronized, how information flows to support the tasks and how tasks are being tracked."	
<http://purl.obolibrary.org/obo/GO_0043687>	"The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome."	
<http://purl.obolibrary.org/obo/CHEBI_33304>	"Any p-block molecular entity containing a chalcogen."	
<http://purl.obolibrary.org/obo/MI_0208>	"An effect in which two genetic perturbations, when combined, result in a phenotype that does not appear to be merely explained by the superimposition or addition of effects of the original perturbations.\nab (not=) E"	
<http://purl.obolibrary.org/obo/ENVO_01000320>	"An enviroment system which is determined by an ocean or sea."	
<http://semanticscience.org/resource/SIO_010423>		
<http://www.ebi.ac.uk/efo/EFO_0000508>	"Genetic diseases are diseases in which inherited genes predispose to increased risk. The genetic disorders associated with cancer often result from an alteration or mutation in a single gene. The diseases range from rare dominant cancer family syndrome to familial tendencies in which low-penetrance genes may interact with other genes or environmental factors to induce cancer. Research may involve clinical, epidemiologic, and laboratory studies of persons, families, and populations at high risk of these disorders."	
<http://purl.obolibrary.org/obo/OBI_0002567>	"A data transformation in which one or more sequences (reads) are positioned on a reference sequence template (often a reference set of genes), according to the genetic base-pairing paradigm."@en	
<http://purl.obolibrary.org/obo/GO_0009536>	"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid."	
<http://purl.obolibrary.org/obo/SO_0005836>	"A region of sequence that is involved in the control of a biological process."	
<http://purl.obolibrary.org/obo/BFO_0000023>	"A realizable entity  the manifestation of which brings about some result or end that is not essential to a continuant  in virtue of the kind of thing that it is but that can be served or participated in by that kind of continuant  in some kinds of natural, social or institutional contexts."@en	
<http://purl.obolibrary.org/obo/GO_0008152>	"A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."	
<http://biomodels.net/SBO/SBO_0000027>	"Synonym: Michaelis-Menten constant "	
<http://purl.obolibrary.org/obo/OBI_0000893>	"An assay, based on the PCR, that amplifies and simultaneously quantifies a specific DNA molecule based on the use of complementary probes/primers. It enables both detection and quantification (as absolute number of copies or relative amount when normalized to DNA input or additional normalizing genes) of one or more specific sequences in a DNA sample."@en	
<http://purl.obolibrary.org/obo/OBI_0001985>	"An analyte assay where binding of the analyte to immobilized matrix is measured."@en	
<http://purl.obolibrary.org/obo/NCBITaxon_408172>		
<http://purl.obolibrary.org/obo/SO_0000756>	"DNA synthesized by reverse transcriptase using RNA as a template."	
<http://purl.obolibrary.org/obo/OBI_1110108>	"A material entity that is added to another material entity in an “adding a material entity into a target” process."@en	
<http://edamontology.org/data_3671>	"Any free or plain text, typically for human consumption and in English. Can instantiate also as a textual search query."	
<http://purl.obolibrary.org/obo/BFO_0000019>		
<http://purl.obolibrary.org/obo/SO_0002096>	"A variation that expands or contracts a tandem repeat with regard to a reference."	
<http://edamontology.org/operation_3196>	"Analyse DNA sequence data to identify differences between the genetic composition (genotype) of an individual compared to other individual's or a reference sequence."	
<http://purl.obolibrary.org/obo/GO_0030431>	"Any process in which an organism enters and maintains a periodic, readily reversible state of reduced awareness and metabolic activity. Usually accompanied by physical relaxation, the onset of sleep in humans and other mammals is marked by a change in the electrical activity of the brain."	
<http://purl.obolibrary.org/obo/OBI_0001271>	"An RNA sequencing assay that determines an RNA sequence by analyzing the transcibed regions of the genome and or to quantitate transcript abundance."@en	
<http://purl.obolibrary.org/obo/CHEBI_17891>	"A molecular entity that can transfer (\"donate\") an electron, a pair of electrons, an atom or a group to another molecular entity."	
<http://purl.obolibrary.org/obo/GO_0030097>	"The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."	
<http://purl.obolibrary.org/obo/GO_0006605>	"The process of targeting specific proteins to particular regions of the cell, typically membrane-bounded subcellular organelles. Usually requires an organelle specific protein sequence motif."	
<http://purl.obolibrary.org/obo/OBCS_0000220>	"A data item that is derived from an inferential statistical data analysis."	
<http://purl.obolibrary.org/obo/CL_0011115>	"A cell that, by division or terminal differentiation, can give rise to other cell types."	
<http://biomodels.net/SBO/SBO_0000493>	"A spatial region of an entity that confers a function"	
<http://edamontology.org/operation_3741>	"The analysis, using proteomics techniques, to identify proteins whose encoding genes are differentially expressed under a given experimental setup."	
<http://purl.obolibrary.org/obo/DOID_7>	"A disease that manifests in a defined anatomical structure."@en	
<http://purl.obolibrary.org/obo/CHMO_0000140>	"Any detection or measurement method for a set of points in reciprocal space."	
<http://purl.obolibrary.org/obo/SO_0001877>	"A non-coding RNA generally longer than 200 nucleotides that cannot be classified as any other ncRNA subtype. Similar to mRNAs, lncRNAs are mainly transcribed by RNA polymerase II, are often capped by 7-methyl guanosine at their 5' ends, polyadenylated at their 3' ends and may be spliced."	
<http://purl.obolibrary.org/obo/CHMO_0000228>	"The study of the interaction of a sample with radiation or particles for measurement or detection."	
<http://purl.obolibrary.org/obo/OBI_0400169>	"A microscope is an instrument which magnifies the view on objects (too small to be viewed by the naked eye) under increased resolution. A microscope can be an optical instrument but also and electronic instrument. There are various kind of optical microscopes, e.g confocal microscope, epifluoresence microscope)"@en	
<http://purl.obolibrary.org/obo/OMIT_0020804>		
<http://purl.obolibrary.org/obo/OBI_0000398>	"An image creation device is a device which captures a digitized image of an object"@en	
<http://purl.obolibrary.org/obo/CL_0000010>		
<http://purl.obolibrary.org/obo/OGMS_0000031>	"A disposition (i) to undergo pathological processes that (ii) exists in an organism because of one or more disorders in that organism."@en	
<http://edamontology.org/operation_0004>	"A function that processes a set of inputs and results in a set of outputs, or associates arguments (inputs) with values (outputs)."	
<http://purl.obolibrary.org/obo/OBI_0000424>	"An assay that determines gene expression and transcription activity using ribonucleic acids collected from a material entity."@en	
<http://purl.obolibrary.org/obo/NCIT_C16565>	"The process by which organism populations change over successive generations that is influenced by gene mutation and natural selection."	
<http://edamontology.org/operation_3432>	"Group together some data entities on the basis of similarities such that entities in the same group (cluster) are more similar to each other than to those in other groups (clusters)."	
<http://purl.obolibrary.org/obo/FBcv_0003195>	"Material that has been selected using Cap Analysis Gene Expression, in which the 7-methylguanosine cap at 5' transcript ends is biotinylated and affinity purified."	
<http://purl.obolibrary.org/obo/PATO_0001995>	"A quality that inheres in an entire organism or part of an organism."	
<http://purl.obolibrary.org/obo/GO_0110165>	"A part of a cellular organism consisting of a material entity with granularity above the level of a protein complex but below that of an anatomical system. Note that cellular organisms exclude viruses."	
<http://purl.obolibrary.org/obo/BFO_0000015>	"An occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t."@en	
<http://purl.obolibrary.org/obo/UBERON_0000955>	"The part of the central nervous system contained within the cranium, comprising the forebrain, midbrain, hindbrain, and metencephalon. It is derived from the anterior part of the embryonic neural tube (or the encephalon). Does not include retina. (CUMBO)"	
<http://purl.obolibrary.org/obo/NCIT_C17007>	"A technique for measuring the gamma radiation produced by collisions of electrons and positrons (anti-electrons) within living tissue. In positron emission tomography (PET), a subject is given a dose of a positron-emitting radionuclide attached to a metabolically active substance (for example, 2-fluoro-2-deoxy-D-glucose (FDG), which is similar to a naturally occurring sugar, glucose, with the addition of a radioactive fluorine atom). When living tissue containing the positron emitter is bombarded by electrons, gamma radiation produced by collisions of electrons and positrons is detected by a scanner, revealing in fine detail the tissue location of the metabolically-active substance administered."	
<http://purl.obolibrary.org/obo/STATO_0000091>	"Genome wide association study is a kind of study whose objective is to detect association between genetic markers (SNP or otherwise) accross the genome and a trait which may be a disease or another phenotype (e.g. trait of agronomic relevance in animal or plant studies). Genome wide association study compare the allele frequencies in 2 populations, one free of the trait used as control, the other one showing the trait use as 'case'. GWAS studies implement case-control design"@en	
<http://purl.obolibrary.org/obo/PATO_0000068>	"A quality of an entity that is descriptive or observational, typically not represented numerically."	
<http://purl.obolibrary.org/obo/CLO_0036932>		
<http://purl.obolibrary.org/obo/DOID_1826>	"A brain disease that is characterized by the occurrance of at least two unprovoked seizures resulting from a persistent epileptogenic abnormality of the brain that is able to spontaneously generate paroxysmal activity and typically manifested by sudden brief episodes of altered or diminished consciousness, involuntary movements, or convulsions."@en	
<http://edamontology.org/data_1240>	"Oligonucleotide primer(s) for PCR and DNA amplification, for example a minimal primer set."	
<http://edamontology.org/data_1597>	"Table of codon usage data calculated from one or more nucleic acid sequences."	
<http://purl.obolibrary.org/obo/CL_0000211>	"A cell whose function is determined by the generation or the reception of an electric signal."	
<http://www.ebi.ac.uk/efo/EFO_0000319>	"A body system disease which occurs in the blood, heart, blood vessels or the lymphatic system that passes nutrients (such as amino acids and electrolytes), gases, hormones, blood cells or lymph to and from cells in the body to help fight diseases and help stabilize body temperature and pH to maintain homeostasis."	
<http://www.ebi.ac.uk/efo/EFO_0000487>	"The act of subjecting someone or something to an influencing experience. E.g. exposure to cigarette smoke"	
<http://edamontology.org/data_1468>	"3D coordinate and associated data for the tertiary (3D) structure of a protein domain."	
<http://purl.obolibrary.org/obo/MI_0964>	"Subset of spectroscopy that deals with the infrared region of the electromagnetic spectrum."	
<http://edamontology.org/operation_3182>	"Align two or more (tpyically huge) molecular sequences that represent genomes."	
<http://edamontology.org/data_1016>	"A position of one or more points (base or residue) in a sequence, or part of such a specification."	
<http://edamontology.org/data_0945>	"Protein or peptide identifications with evidence supporting the identifications, for example from comparing a peptide mass fingerprint (from mass spectrometry) to a sequence database, or the set of typical spectra one obtains when running a protein through a mass spectrometer."	
<http://purl.obolibrary.org/obo/MI_1100>	"Molecules showing activity in a living system but not encoded by a genomic sequence."	
<http://purl.obolibrary.org/obo/SO_0000740>	"DNA belonging to the genome of a plastid such as a chloroplast."	
<http://www.ebi.ac.uk/efo/EFO_0000269>	"An instrument design which describes the design of the array."	
<http://purl.obolibrary.org/obo/SO_0000694>	"SNPs are single base pair positions in genomic DNA at which different sequence alternatives exist in normal individuals in some population(s), wherein the least frequent variant has an abundance of 1% or greater."	
<http://purl.obolibrary.org/obo/NCIT_C18962>	"Analysis of protein components in a sample.  The most basic analysis involves determination of the mass or concentration of protein by any of a number of quantitative assays.  Increased level of detail in the analysis requires resolution of a mixture into its component proteins.  The characterization of a pure protein includes the determination of a number of its properties, among these, the molecular weight, isoelectric point, subunit composition, tryptic map, amino acid composition, amino acid sequence, hydrodynamics (s value, frictional coefficient, shape, aggregation state), thermodynamics (melting, folding, protein-protein interactions), and atomic structure (NMR, diffraction)."	
<http://purl.obolibrary.org/obo/OBI_0000615>	"An assay that determines protein expression and translation activity using protein extracts collected from a material entity."@en	
<http://aims.fao.org/aos/agrovoc/c_1971>	"The pattern of crops grown on a given piece of land, or order in which the crops are cultivated over a fixed period."	
<http://purl.obolibrary.org/obo/IAO_0000104>	"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified."@en	
<http://purl.obolibrary.org/obo/OMP_0000197>	"A microbial phenotype related to the interactions between a microbe and its host(s)."	
<http://edamontology.org/data_0989>	"Identifier of a protein."	
<http://purl.obolibrary.org/obo/CHEBI_23906>		
<http://edamontology.org/data_3720>	"A report about localisation of the isolaton of biological material e.g. country or coordinates."	
<http://biomodels.net/SBO/SBO_0000414>	"Positional relationship between entities on the same strand (e.g. in DNA), or on the same side.\n"	
<http://purl.obolibrary.org/obo/GO_0048468>	"The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."	
<http://edamontology.org/data_1696>	"A human-readable collection of information about a specific drug."	
<http://edamontology.org/data_1413>	"Sequence similarity is the similarity (expressed as a percentage) of two molecular sequences calculated from their alignment, a scoring matrix for scoring characters substitutions and penalties for gap insertion and extension."	
<http://purl.obolibrary.org/obo/GO_0070062>	"A vesicle that is released into the extracellular region by fusion of the limiting endosomal membrane of a multivesicular body with the plasma membrane. Extracellular exosomes, also simply called exosomes, have a diameter of about 40-100 nm."	
<http://purl.obolibrary.org/obo/UBERON_0000948>	"A myogenic muscular circulatory organ found in the vertebrate cardiovascular system composed of chambers of cardiac muscle. It is the primary circulatory organ."	
<http://purl.obolibrary.org/obo/SO_1000002>	"A sequence alteration where the length of the change in the variant is the same as that of the reference."	
<http://www.ebi.ac.uk/efo/EFO_0004798>	"A quantification of a genomic variation that increases or decreases the copy number of a given region."	
<http://semanticscience.org/resource/SIO_001008>		
<http://purl.obolibrary.org/obo/GO_0043170>	"The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://purl.obolibrary.org/obo/UBERON_0006925>	"Any gland that is part of the digestive system."	
<http://purl.obolibrary.org/obo/SO_0000857>	"Similarity due to common ancestry."	
<http://purl.obolibrary.org/obo/GO_0006457>	"The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."	
<http://purl.obolibrary.org/obo/SO_0000831>	"A region of a gene."	
<http://purl.obolibrary.org/obo/CHEBI_27026>	"Poisonous substance produced by a biological organism such as a microbe, animal or plant."	
<http://purl.obolibrary.org/obo/ENVO_01000024>	"The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed."	
<http://purl.obolibrary.org/obo/DOID_150>	"A disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual, and which are not a part of normal development or culture."@en	
<http://purl.obolibrary.org/obo/OBI_0000272>	"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process."@en	
<http://purl.obolibrary.org/obo/UBERON_0000955>	"Part of the central nervous system situated within the cranium and composed of both nerve cell bodies and nerve fibers.[AAO]"	
<http://purl.obolibrary.org/obo/ENVO_01001691>	"An mass of environmental materials which has appreciable quantities of several individual materials, such that the removal of one would convert the mass into a different entity."@en	
<http://purl.obolibrary.org/obo/NCIT_C26549>	"The product of so-called RNA genes; a functional RNA represents the final product of a gene rather than a transient molecule that will be translated into protein."	
<http://purl.obolibrary.org/obo/SO_0002031>	"A short hairpin RNA (shRNA) is an RNA transcript that makes a tight hairpin turn that can be used to silence target gene expression via RNA interference."	
<http://purl.obolibrary.org/obo/ENVO_03000043>	"A process during which a portion of some environmental material is converted into a different material or a collection of materials."	
<http://purl.obolibrary.org/obo/NCIT_C142529>	"A digital version of a patient's medical history."	
<http://purl.obolibrary.org/obo/SO_0000836>	"A region of an mRNA."	
<http://purl.obolibrary.org/obo/HP_0001428>		
<http://purl.obolibrary.org/obo/SO_0000673>	"An RNA synthesized on a DNA or RNA template by an RNA polymerase."	
<http://purl.obolibrary.org/obo/GO_0060293>	"Differentiated cytoplasm associated with a pole of an oocyte, egg or early embryo that will be inherited by the cells that will give rise to the germ line."	
<http://edamontology.org/operation_0267>	"Predict secondary structure of protein sequences."	
<http://edamontology.org/data_1280>	"A map of DNA (linear or circular) annotated with physical features or landmarks such as restriction sites, cloned DNA fragments, genes or genetic markers, along with the physical distances between them."	
<http://purl.obolibrary.org/obo/PR_000037070>	"A protein that includes at least one phosphorylated residue."	
<http://edamontology.org/data_0982>	"Name or other identifier of a molecule."	
<http://purl.obolibrary.org/obo/MI_0000>	"Controlled vocabularies originally created for protein protein interactions, extended to other molecules interactions."	
<http://purl.obolibrary.org/obo/UBERON_0000104>	"An entire span of an organism's life. In metazoans, commences with the zygote stage and ends with the death of the organism."	
<http://purl.obolibrary.org/obo/CL_0002248>	"A pluripotent stem cell has the ability to form cells from all three germ layers (ectoderm, mesoderm, and endoderm). However, unlike totipotent stem cells, they cell can not generate all the cells of the whole organism such as placenta."	
<http://purl.obolibrary.org/obo/OBI_0000443>	"An assay with the objective to capture information about the presence, concentration, or amount of an analyte in an evaluant."@en	
<http://purl.obolibrary.org/obo/UBERON_0000479>	"Multicellular anatomical structure that consists of many cells of one or a few types, arranged in an extracellular matrix such that their long-range organisation is at least partly a repetition of their short-range organisation."	
<http://purl.obolibrary.org/obo/NCIT_C18143>	"Refers to the targeted disruption of a gene within its normal biological context.  Utilized to examine the involvement of a gene in a complex biological process."	
<http://edamontology.org/data_1479>	"Alignment (superimposition) of exactly two molecular tertiary (3D) structures."	
<http://purl.obolibrary.org/obo/UBERON_0001474>	"Portion of tissue which is calcified connective tissue making up the structural elements of the skeletal system.[TAO]"	
<http://purl.obolibrary.org/obo/UBERON_0000000>	"An occurrent [span:Occurrent] that exists in time by occurring or happening, has temporal parts and always involves and depends on some entity."	
<http://edamontology.org/operation_3672>	"Annotate one or more sequences with functional information, such as cellular processes or metaobolic pathways, by reference to a controlled vocabulary - invariably the Gene Ontology (GO)."	
<http://purl.obolibrary.org/obo/IAO_0000572>	"A planned process in which a document is created or added to by including the specified input in it."@en	
<http://www.ebi.ac.uk/efo/EFO_0007059>	"Germplasm is the living genetic resources such as seeds or tissue that is maintained for the purpose of animal and plant breeding, preservation, and other research uses. These resources may take the form of seed collections stored in seed banks, trees growing in nurseries, animal breeding lines maintained in animal breeding programs or gene banks, etc. Germplasm collections can range from collections of wild species to elite, domesticated breeding lines that have undergone extensive human selection."	
<http://purl.obolibrary.org/obo/CL_0000738>	"An achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue."	
<http://www.orpha.net/ORDO/Orphanet_68380>		
<http://purl.obolibrary.org/obo/GO_0032940>	"The controlled release of a substance by a cell."	
<http://edamontology.org/topic_0128>	"Protein-protein, protein-DNA/RNA and protein-ligand interactions, including analysis of known interactions and prediction of putative interactions."	
<http://www.ebi.ac.uk/efo/EFO_0000546>	"Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity."	
<http://purl.obolibrary.org/obo/MS_1001193>	"Result of quality estimation: confidence score."	
<http://purl.obolibrary.org/obo/GO_0044238>	"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."	
<http://purl.obolibrary.org/obo/OMIT_0014521>		
<http://edamontology.org/operation_2423>	"Predict, recognise, detect or identify some properties of a biomolecule."	
<http://purl.obolibrary.org/obo/SO_0000655>	"An RNA transcript that does not encode for a protein rather the RNA molecule is the gene product."	
<http://purl.obolibrary.org/obo/PRIDE_0000427>	"Top-down Proteomics is a method of protein identification that uses an ion trapping mass spectrometer to store an isolated protein ion for mass measurement and tandem mass spectrometry analysis. Top-down proteomics is capable of identifying unique proteoforms (the specific molecular form of the protein resulting from combinations of genetic variation, alternative splicing, and post-translational modifications) through the analysis of intact proteins. Both the intact and fragment ions masses of a protein can be measured. This approach routinely allows for 100% sequence coverage and full characterization of proteoforms. The potential for achieving full protein characterization has made the Top Down mass spectrometry approach extremely useful for analysis of single proteins or simple mixtures of significant biological interest."	
<http://www.ebi.ac.uk/efo/EFO_0003935>	"The state wherein the person is well adjusted."	
<http://edamontology.org/topic_3386>	"The use of animals and alternatives in experimental research."	
<http://edamontology.org/operation_0226>	"Annotate an entity (typically a biological or biomedical database entity) with terms from a controlled vocabulary."	
<http://purl.obolibrary.org/obo/CHEBI_33833>	"A heterocyclic compound formally derived from an arene by replacement of one or more methine (-C=) and/or vinylene (-CH=CH-) groups by trivalent or divalent heteroatoms, respectively, in such a way as to maintain the continuous pi-electron system characteristic of aromatic systems and a number of out-of-plane pi-electrons corresponding to the Hueckel rule (4n+2)."	
<http://www.ebi.ac.uk/efo/EFO_0009878>	"Alteration of the disposition and/or effect of a drug, owing to the presence of another factor such as a second drug, or food."	
<http://purl.obolibrary.org/obo/CHEBI_50803>	"A nanosized spherical or capsule-shaped structure."	
<http://purl.obolibrary.org/obo/GO_0048513>	"Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/CMO_0000000>	"A quantitative or qualitative value which is the result of an act of assessing a morphological or physiological state or property in a single individual or sample or a group of individuals or samples, based on direct observation or experimental manipulation."	
<http://purl.obolibrary.org/obo/OMIT_0003072>		
<http://purl.obolibrary.org/obo/SO_0000591>	"A tertiary structure in RNA where nucleotides in a loop form base pairs with a region of RNA downstream of the loop."	
<http://purl.obolibrary.org/obo/OMIT_0025926>		
<http://edamontology.org/data_2899>	"Common name of a drug."	
<http://purl.obolibrary.org/obo/NCIT_C15222>	"The customary allowance of food and drink taken by a person or an animal from day to day, particularly one especially planned to meet specific requirements of the individual, including or excluding certain items of food; a prescribed course of eating and drinking in which the amount and kind of food, as well as the times at which it is to be taken, are regulated for therapeutic purposes or selected with reference to a particular state of health."	
<http://purl.obolibrary.org/obo/CHEBI_36963>	"An organochalcogen compound containing at least one carbon-oxygen bond."	
<http://purl.obolibrary.org/obo/GO_0065010>	"Organized structure of distinctive morphology and function, bounded by a lipid bilayer membrane and occurring outside the cell."	
<http://purl.obolibrary.org/obo/OBI_0001905>		
<http://purl.obolibrary.org/obo/OBI_0400148>	"A DNA-microarray is a microarray that is used as a physical 2D immobilisation matrix for DNA sequences. DNA microarray-bound DNA fragments are used as targets for a hybridising probed sample."@en	
<http://purl.obolibrary.org/obo/CHMO_0000068>	"Microscopy where the specimen is bombarded with a finely focused (<10 nm diameter) electron beam with an acceleration voltage 50-150 kV under vacuum. The interaction of the electrons with the specimen produces transmitted, secondary, backscattered and diffracted electrons and characteristic X-rays which are detected."	
<http://semanticscience.org/resource/SIO_000398>		
<http://purl.obolibrary.org/obo/CHEBI_36914>		
<http://purl.obolibrary.org/obo/PATO_0000051>	"A quality of a single physical entity inhering in the bearer by virtue of the bearer's size or shape or structure."	
<http://purl.obolibrary.org/obo/CLO_0000031>		
<http://purl.obolibrary.org/obo/NCIT_C16507>	"Drug-, radiation-induced, or spontaneous injuries to DNA that introduce deviations from its normal double-helical conformation. These changes include structural distortions that interfere with replication and transcription, as well as point mutations that disrupt base pairs and exert damaging effects on future generations through changes in DNA sequence. If the damage is minor, it can often be repaired (DNA repair); extensive damage can induce apoptosis."	
<http://purl.obolibrary.org/obo/DOID_0080001>	"A connective tissue disease that affects the structure or development of bone or causes an impairment of normal bone function."@en	
<http://www.ebi.ac.uk/efo/EFO_0003890>	"Drug dependence - replaced the term \"drug addiction\" and is defined as a state, psychic and sometimes also physical, resulting from the interaction between a living organism and a drug, characterized by behavioral and other responses that always include a compulsion to take the drug on a continuous or periodic basis in order to experience its psychic effects, and sometimes to avoid the discomfort of its absence. Tolerance may or may not be present. A person may be dependent on more than one drug."	
